status,passDate,text
Senate Read and Adopted,2019-03-05,"LC 117 0957 S. R. 290- 1 -Senate Resolution 290By:  Senators James of the 35th, Tate of the 38th, Seay of the 34th, Anderson of the 43rd,  Butler of the 55th and others A RESOLUTIONRecognizing and commending Harriett Bryant; and for other purposes. WHEREAS, a beloved daughter of Richard and Bernice Powell, Harriett Bryant grew up in Atlanta and has long been known as one of the most dynamic and dedicated business leaders in the State of Georgia; and4WHEREAS, she is a graduate of Sheffield School of Aeronautics and worked as a flight controller for 13 years before embarking on a successful career in small business; and WHEREAS, Harriett credits meeting her husband, Ronald, as the spark that ignited her glowing record of entrepreneurship, as demonstrated by her ownership of both the Grown Folks Cafe and the 50 Yard Line Sports Bar; and9WHEREAS, over the course of her 24 years in business, Harriett has created many jobs in her community and has established a place in which community members of both Fulton and Clayton counties can relax and enjoy time with friends and family; and WHEREAS, Harriett is forever bonded to her community, her love of service to her neighbors, and her dedication to success, but her daughter, Ragan, is the most significant light in her life; and15WHEREAS, it is abundantly fitting and proper that the innumerable contributions of this magnificent business leader be appropriately recognized. NOW, THEREFORE, BE IT RESOLVED BY THE SENATE that the members of this body recognize and commend Harriett Bryant for her 24 years of service as a business owner and extend sincere best wishes for continued success.20 19LC 117 0957 S. R. 290- 2 -BE IT FURTHER RESOLVED that the Secretary of the Senate is authorized and directed to make an appropriate copy of this resoluti on available for distribution to Harriett Bryant.22"
House Second Readers,,"LC 39 2516 H. B. 1135- 1 -House Bill 1135By: Representatives Jackson of the 64 th, Hopson of the 153 rd, Smyre of the 135 th, Hugley of the 136th, and Boddie of the 62nd A BILL TO BE ENTITLEDAN ACTTo amend Code Section 40-2-86 of the Official Code of Georgia Annotated, relating to special license plates promoting or supporting certain worthy agencies, funds, or nonprofit corporations with proceeds disbursed to the general fund and the agency, fund, or nonprofit corporation, so as to establish a specialty license plate honoring Alpha Phi Alpha Fraternity, Inc.; to provide for related matters; to provide for compliance with constitutional requirements; to repeal conflicting laws; and for other purposes. BE IT ENACTED BY THE GENERAL ASSEMBLY OF GEORGIA:7SECTION 1.8Code Section 40-2-86 of the Official Code of Georgia Annotated, relating to special license plates promoting or supporting certain worthy  agencies, funds, or nonprofit corporations with proceeds disbursed to the general fund and  the agency, fund, or nonprofit corporation, is amended by adding a new paragraph to subsection (l) to read as follows: (64)  A special license plate honoring Alpha Phi Alpha Fraternity, Inc.  The funds raised by the sale of this special license plate shall be disbursed to the Alpha Georgia Education Foundation, Inc.15SECTION 2.16In accordance with the requirements of Article III, Section IX, Paragraph VI(n) of the Constitution of the State of Georgia, this Ac t shall not become law unless it receives the requisite two-thirds' majority vote in both the Senate and the House of Representatives. SECTION 3.20All laws and parts of laws in conflict with this Act are repealed.21"
Senate Read and Adopted,2019-01-30,"LC 119 0041 S. R. 47- 1 -Senate Resolution 47By:  Senators Unterman of the 45th and Albers of the 56th  A RESOLUTIONCommending and congratulating Suwanee Police Chief Michael S. Jones as the 2018-2019 Georgia Police Chief of the Year; and for other purposes.2WHEREAS, Suwanee Police Chief Michael S. Jones is highly regarded by the citizens of his community and state and by local government officials as a person of unquestioned integrity, humility and dedication to the sound principles of law enforcement; and WHEREAS, he began his career in 1974, following  in the footsteps of his father with the City of Rome Police Department, beginning  as a radio operator and rising to the rank of Major where he supervised the Field Operations, Support Services, and Administrative Services Bureaus; and9WHEREAS, Chief Jones earned a Bachelor of Arts from Berry College and Masters of Public Administration from Columbus College; and WHEREAS, Chief Jones graduated from the 155th Session of the Federal Bureau of Investigation's National Academy; and WHEREAS, he has served as chief of police  for the City of Suwanee Police Department, a full service and revered law enforcement agency, for the last 20 years; and WHEREAS, Chief Jones served as president of the Georgia Association of Chiefs of Police (GACP) in 2008-2009; and17WHEREAS, as chief he led the department to become State Certified through the GACP and Nationally Accredited with Excellence by the Commission on Accreditation for Law Enforcement (CALEA); and LC 119 0041 S. R. 47- 2 -WHEREAS, during his tenure, the department received national recognition for an innovative program known as Police and Citizens Together (PACT) in which officers are assigned as liaisons with different areas of the community to ensure the citizens' needs are being met and has been instrumental to lowering crime throughout the community; and WHEREAS, Chief Jones is united in love and marriage to Debbie Anne, who is also a law enforcement professional, for more than 40 years; and WHEREAS, it is abundantly fitting and proper that the members of this body show their gratitude for the unique and often unheralded contributions of Chief Jones and all local law enforcement officers on behalf of the citizens of this state. NOW, THEREFORE, BE IT RESOLVED BY THE SENATE that the members of this body commend the care, courage, and selfless dedication exhibited by Suwanee Police Chief Michael S. Jones in carrying  out the difficult duties of his vocation and congratulate him upon his recognition as the 2018-2019 Georgia Police Chief of the Year.33BE IT FURTHER RESOLVED that the Secretary of the Senate is authorized and directed to make an appropriate copy of this resolution available for distribution to Suwanee Police Chief Michael S. Jones.36"
Senate Read and Referred,,"LC 47 0570 S. B. 519- 1 -Senate Bill 519By:  Senators Williams of the 39th, Jordan of the 6th, Jones II of the 22nd, Parent of the  nd, Anderson of the 43rd and others A BILL TO BE ENTITLEDAN ACTTo amend Code Section 1-4-1 of the Official Code of Georgia Annotated, relating to public and legal holidays and leave for observance of religious holidays not specifically provided2for, so as to designate June 19 of each year as a state holiday of Juneteenth; to remove June 3 as a potential state holiday; to provide for rela ted matters; to repeal conflicting laws; and for other purposes.5BE IT ENACTED BY THE GENERAL ASSEMBLY OF GEORGIA:6SECTION 1.7Code Section 1-4-1 of the Official Code of Georgia Annotated, relating to public and legal holidays and leave fo r observance of religious holidays not specifically provided for, is amended by revising subsections (a) and (b) as follows: (a)  The State of Georgia shall recognize and observe as public and legal holidays:11(1)  All days which have been designated as of January 1, 1984, as public and legal holidays by the federal government; and (2)  June 19 of each year, to be designated Juneteenth; and14(3)  All other days designated and proclaimed by the Governor as public and legal holidays or as days of fasting and prayer or other religious observance.  In such designation, the Governor shall include at least one of the following dates: January 19, or April 26, or June 3,  or a suitable date in lieu thereof to commemorate the event or events now observed by such dates.19(b)  The Governor shall close all state offices and facilities a minimum of 12 days throughout the year and not more than 12 days in observance of the public and legal holidays and other days set forth in subsection (a) of this Code section and shall specify the days state offices and facilities shall be closed for such observances.23SECTION 2.24All laws and parts of laws in conflict with this Act are repealed.25"
Senate Passed/Adopted,2019-04-02,"LC 34 5551 S. R. 325- 1 -Senate Resolution 325By:  Senators Parent of the 42nd, Dugan of the 30th, Mullis of the 53rd, Kirkpatrick of the32nd, Williams of the 39th and others  A RESOLUTIONCreating the Senate Study Committee on Portable Benefits for Independent Workers; and for other purposes.2WHEREAS, the nature of the economy and the workforce is rapidly changing, resulting in traditional employment relationships becoming less common; and WHEREAS, there is growing recognition that most policies supporting employee benefits are still tied to a model of traditional full-time employment; and WHEREAS, as more Georgians engage in temporary, contract, on-demand or other alternative work arrangements, there is a need to evaluate how these independent workers can access benefits and protections commonly provided to traditional full-time employees; and10WHEREAS, portable benefit models provide employee benefits outside the traditional employment relationship and allow independent workers to carry benefits with them from job to job or project to project; and13WHEREAS, there is an increasing awareness and interest in Georgia's business community regarding portable benefit models and their potential role in encouraging innovation, entrepreneurship, and a modern economy; and WHEREAS, it would be beneficial to study the usefulness and implementation of portable benefits in order to determine the most effective way to structure employment benefits to support a more independent 21st century workforce. NOW, THEREFORE, BE IT RESOLVED BY THE SENATE:20(1)  Creation of Senate study committee. There is created the Senate Study Committee on Portable Benefits for Independent Workers.22 19LC 34 5551 S. R. 325- 2 -(2)  Members and officers. The committee shall be composed of five members of the Senate to be appointed by the President of the Senate. The President shall designate a member of the committee as chairperson of the committee. (3)  Powers and duties. The committee shall undertake a study of the conditions, needs, issues, and problems mentioned above or related thereto and recommend any action or legislation which the committee deems necessary or appropriate. (4)  Meetings.  The chairperson shall call all meetings of the committee. The committee may conduct such meetings at such places and  at such times as it may deem necessary or convenient to enable it to exercise fully and effectively its powers, perform its duties, and accomplish the objectives and purposes of this resolution. (5)  Allowances and funding.33(A)  The legislative members of the committee shall receive the allowances provided for in Code Section 28-1-8 of the Official Code of Georgia Annotated.35(B)  The allowances authorized by this resolution shall not be received by any member of the committee for more than five days unless additional days are authorized.  Funds necessary to carry out the provisions of this resolution shall come from funds appropriated to the Senate.39(6)  Report.40(A)  In the event the committee adopts any specific findings or recommendations that include suggestions for proposed legislation, the chairperson shall file a report of the same prior to the date of abolishment specified in this resolution, subject to subparagraph (C) of this paragraph.44(B)  In the event the committee adopts a re port that does not include suggestions for proposed legislation, the chairperson shall file the report, subject to subparagraph (C) of this paragraph.47(C)  No report shall be filed unless the same has been approved prior to the date of abolishment specified in this resolution by majority vote of a quorum of the committee. A report so approved shall be signed by the chairperson of the committee and filed with the Secretary of the Senate.51(D)  In the absence of an approved report, the chairperson may file with the Secretary of the Senate a copy of the minutes of the meetings of the committee in lieu thereof. (7)  Abolishment.  The committee shall stand abolished on December 1, 2019. "
House Read and Adopted,2020-02-18,"LC 120 0225 H. R. 1096- 1 -House Resolution 1096By: Representatives Clark of the 108th, Hutchinson of the 107th, and Gambill of the 15 th A RESOLUTIONRecognizing and commending Laura Ross, the American School Counselor Association's School Counselor of the Year; and for other purposes.2WHEREAS, a proper quality education for the young people of this state is the single most important objective of the General Assembly; and WHEREAS, nothing is more vital to the future of our state than the education of our young people, and Laura Ross exemplifies the selfless dedication that is characteristic of our finest school faculty; and7WHEREAS, since 2014, Laura ha s been a highly praise d counselor at Five Forks Middle School in Lawrenceville, Georgia. She tirelessly directs an extraordinary amount of time and talent toward building relationships with students and helping them achieve their full potential; and11WHEREAS, Laura Ross is the founder of the Five Forks Middle School Gay Straight Alliance, a cadre trainer for the Dove Self-Esteem Project, and the middle school chair of the district's Counseling Steering Committee; and WHEREAS, she has earned the admiration of her colleagues as a result of her dedication to the students of Five Forks Middle School and has been honored as the American School Counselor Association's 2020 School Counselor of the Year; and WHEREAS, in recognition of such remarkable contributions to the welfare of Georgia's students, it is abundantly fitting and proper that the extraordinary efforts of this outstanding counselor be honored.20NOW, THEREFORE, BE IT RESOLVED BY THE HOUSE OF REPRESENTATIVES that the members of this body recognize and commend Laura Ross for being named the American LC 120 0225 H. R. 1096- 2 -School Counselor Association's 2020 School Counselor of the Year and extend their most sincere best wishes for continued success.24BE IT FURTHER RESOLVED that the Clerk of the House of Representatives is authorized and directed to make an appropriate copy of this resolution available for distribution to Laura Ross.27"
House Read and Adopted,2020-02-25,"LC 121 0305 H. R. 1278- 1 -House Resolution 1278By: Representatives Jackson of the 128 th, Efstration of the 104 th, Williams of the 168 th, Smyre of the 135th, and Boddie of the 62nd A RESOLUTIONCommending Beauty Poole Baldwin, Georgia's first black school superintendent; and for other purposes.2WHEREAS, a proper quality education for the young people of this state is the single most important objective of the General Assembly; and WHEREAS, Beauty Poole Baldwin is a highly praised educator and administrator in Georgia, tirelessly directing an extraordinary amount of time and talent toward guiding students to a brighter future; and7WHEREAS, Beauty is the beloved daughter of Sammie George Poole Sr. and Beurena Poole; and9WHEREAS, in 1984, she was named superintendent of Buford City Schools after working numerous teaching jobs at the John Lewis High School, Hardaway High, Central Gwinnett High School, and serving as the principal of Buford Middle School; and12WHEREAS, within the Gwinnett County School System, she taught math, served as coordinator of vocational academic education, and worked as assistant principal at Central Gwinnett High School; and15WHEREAS, Beauty attended Savannah State College and received a bachelor's degree in mathematics; she then attended the University of Georgia, where  she obtained a master's degree in vocational education and a VE-5 in vocational administration; and WHEREAS, Beauty's legacy was honored in 2016 when the Gwinnett County Board of Education officially dedicated Baldwin Elementary School in her name; and LC 121 0305 H. R. 1278- 2 -WHEREAS, in recognition of such remarkable contributions to the education and welfare of Georgia's students, it is abundantly fitting and proper to honor the extraordinary accomplishments and academic achievements of this outstanding Georgian. NOW, THEREFORE, BE IT RESOLVED BY THE HOUSE OF REPRESENTATIVES that the members of this body commend Beauty Poole Baldwin for her trailblazing accomplishments as Georgia's first black school superintendent and express their most sincere best wishes for continued success.27BE IT FURTHER RESOLVED that the Clerk of the House of Representatives is authorized and directed to make an appropriate copy of this resolution available for distribution to Beauty Poole Baldwin.30"
House Second Readers,,"LC 33 7834 H. B. 558- 1 -House Bill 558By: Representatives Jones of the 25 th, Stovall of the 74 th, Cantrell of the 22 nd, and Gambill of the 15th A BILL TO BE ENTITLEDAN ACTTo amend Code Section 20-2-2081 of the Offici al Code of Georgia Annotated, relating to definitions relative to state charter schools, so  as to provide that state charter schools with state-wide attendance zones are considered to have state-wide jurisdiction for certain purposes; to repeal conflicting laws; and for other purposes.4BE IT ENACTED BY THE GENERAL ASSEMBLY OF GEORGIA:5SECTION 1.6Code Section 20-2-2081 of the Official Code of Georgia Annotated, relating to definitions7relative to state charter schools, is amended by revising paragraph (1) as follows: (1)  'Attendance zone' means all or a portion of a local school system, one or more local school systems or portions thereof, or all local school systems in this state.  A state charter school with an attendance zone that includes all local school systems in this state shall be considered to have state-wide jurisdiction as that term is used in Chapter 14 of Title 50.13SECTION 2.14All laws and parts of laws in conflict with this Act are repealed.15"
Senate Read and Adopted,2019-02-08,"LC 117 0785 S. R. 117- 1 -Senate Resolution 117By:  Senators Jones of the 25th, Black of the 8th, Beach of the 21st, Brass of the 28th and  Parent of the 42nd A RESOLUTIONHonoring the life and memory of Dawson Heath; and for other purposes. WHEREAS, the State of Georgia mourns the lo ss of one of its most distinguished citizens with the passing of Dawson Heath on December 31, 2018; and WHEREAS, Dawson Heath was a beloved citizen of Jackson, Georgia, and he dedicated his life to improving the city as a firefighter and street department superintendent; and WHEREAS, he diligently and conscientiously devoted innumerable hours of his time, talents, and energy toward the betterment of his community and state as evidenced dramatically by his superlative service with the City of Jackson for 35 years; and WHEREAS, he gave inspiration to many through his high ideals, morals, and deep concern for his fellow citizens, and the devotion, patience, and understanding he demonstrated to his family and friends were admired by others; and WHEREAS, he was a person of magnanimous strengths with an unimpeachable reputation for integrity, intelligence, fairness, and kindness, and by the example he made of his life, he made this world a better place in which to live; and WHEREAS, a compassionate and generous man, Dawson will long be remembered for his love of family, friendship, and community  and will be missed by all who had the great fortune of knowing him. NOW, THEREFORE, BE IT RESOLVED BY THE SENATE that the members of this body join in honoring the life and memory of Dawson Heath and express their deepest and most sincere regret at his passing.20 19LC 117 0785 S. R. 117- 2 -BE IT FURTHER RESOLVED that the Secretary of the Senate is authorized and directed to make an appropriate copy of this resolution available for distribution to the family of Dawson Heath.23"
House Read and Adopted,2019-03-29,"LC 117 1237 H. R. 803- 1 -House Resolution 803By: Representative Burnough of the 77th A RESOLUTIONRecognizing and commending the Atlanta Chapter of National Epicureans, Inc., on the grand occasion of its 40th anniversary; and for other purposes.2WHEREAS, the Atlanta Chapter of National Epicureans, Inc., has a long and consistent record of service to the community and this state and has been recognized as one of the most dynamic and committed civic organizations in Georgia; and WHEREAS, this organization's mission is to inspire its members to a high moral, intellectual, social, and civic standing and to promote and sponsor social, cultural, literacy, and charitable affairs; and8WHEREAS, the inception of the Atlanta Chapter of National Epicureans, Inc., emerged from an existing friendship between Peggy Burke of the Columbus, Ohio, Chapter and Inez Hill of Atlanta, Georgia; these two inspired young women were instrumental in organizing the Atlanta Chapter of National Epicureans, Inc., sponsored by the Columbus Chapter; and WHEREAS, the Atlanta Chapter was very instrumental in the sponsorship of the Decatur Chapter of National Epicureans, Inc., November 9, 2009, and the Decatur Chapter held their first National Conclave in June, 2018; and15WHEREAS, the Atlanta Chapter held its firs t conclave in June, 1989, and the second one in June, 2012; and17WHEREAS, the Atlanta Chapter has grown over its 40 years of community service, making annual contributions to the Sickle Cell Foundation, donating stocking stuffers and Thanksgiving baskets to needy families, providing clothing and gifts to My Sister's House and Dress for Success, and making yearly contributions to the United Negro College Fund; and22 19LC 117 1237 H. R. 803- 2 -WHEREAS, it is abundantly fitting and proper  that the outstanding contributions of this magnificent civic organization be appropriately recognized. NOW, THEREFORE, BE IT RESOLVED BY THE HOUSE OF REPRESENTATIVES that the members of this body recognize and commend the Atlanta Chapter of National Epicureans, Inc., on the grand occasion of its 40th anniversary and extend the most sincere best wishes for continued growth, development, and success. BE IT FURTHER RESOLVED that the Clerk of the House of Representatives is authorized and directed to make an appropriate copy of th is resolution available for distribution to the Atlanta Chapter of National Epicureans, Inc.31"
